NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;Soma de QT_MAT_FUND
2023;3106606;Bertópolis;244
2023;3113701;Carlos Chagas;1355
2023;3115458;Catuji;487
2023;3120151;Crisólita;456
2023;3126752;Franciscópolis;206
2023;3126802;Frei Gaspar;522
2023;3127057;Fronteira dos Vales;244
2023;3132305;Itaipé;877
2023;3137007;Ladainha;922
2023;3138906;Machacalis;420
2023;3139201;Malacacheta;486
2023;3144300;Nanuque;901
2023;3145356;Novo Oriente de Minas;553
2023;3146206;Ouro Verde de Minas;458
2023;3148509;Pavão;258
2023;3152402;Poté;765
2023;3157658;Santa Helena de Minas;249
2023;3165552;Setubinha;194
2023;3166709;Serra dos Aimorés;338
2023;3168606;Teófilo Otoni;5601
2023;3170305;Umburatiba;242
2024;3100906;Águas Formosas;237
2024;3104700;Ataléia;489
2024;3106606;Bertópolis;231
2024;3113701;Carlos Chagas;1306
2024;3115458;Catuji;508
2024;3120151;Crisólita;431
2024;3126752;Franciscópolis;216
2024;3126802;Frei Gaspar;512
2024;3127057;Fronteira dos Vales;241
2024;3132305;Itaipé;815
2024;3137007;Ladainha;894
2024;3138906;Machacalis;420
2024;3139201;Malacacheta;451
2024;3144300;Nanuque;901
2024;3145356;Novo Oriente de Minas;486
2024;3146206;Ouro Verde de Minas;479
2024;3148509;Pavão;262
2024;3152402;Poté;742
2024;3157658;Santa Helena de Minas;263
2024;3165552;Setubinha;189
2024;3166709;Serra dos Aimorés;422
2024;3168606;Teófilo Otoni;5448
2024;3170305;Umburatiba;234
