COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;VAL_INDI
3138906;Machacalis;2015;1;24;1.1;25.38
3138906;Machacalis;2015;1;28;2.1;13.07
3138906;Machacalis;2015;1;29;2.2;82.6
3138906;Machacalis;2015;1;30;2.3;0.0
3138906;Machacalis;2015;1;31;2.4;18.67
3138906;Machacalis;2015;1;32;2.5;72.9
3138906;Machacalis;2015;1;33;2.6;0.0
3138906;Machacalis;2015;1;34;2.7;0.0
3138906;Machacalis;2015;1;35;2.8;23.7
3138906;Machacalis;2015;1;36;2.9;0.0
3138906;Machacalis;2015;1;38;3.1;0.0
3138906;Machacalis;2015;1;39;3.2;96.68
3138906;Machacalis;2015;1;42;3.5;57.01
3138906;Machacalis;2015;1;43;3.6;16.91
3138906;Machacalis;2015;1;44;4.1;2878.98
3138906;Machacalis;2015;1;45;4.2;4933.14
3138906;Machacalis;2015;1;46;4.3;0.0
3138906;Machacalis;2015;1;47;2.10;0.0
3138906;Machacalis;2015;1;48;2.11;97.63
3138906;Machacalis;2015;1;49;2.12;2.36
3138906;Machacalis;2015;1;52;4.4;0.0
3138906;Machacalis;2015;1;53;4.5;0.0
3138906;Machacalis;2015;1;54;4.6;0.0
3138906;Machacalis;2015;1;55;4.7;0.0
3138906;Machacalis;2015;1;56;4.8;4404.95
3138906;Machacalis;2015;1;57;4.9;4404.95
3138906;Machacalis;2015;1;58;4.10;2680.96
3138906;Machacalis;2015;1;59;4.11;795.5
3138906;Machacalis;2015;1;60;4.12;0.0
3138906;Machacalis;2015;1;65;5.1;5.7
3138906;Machacalis;2015;1;67;1.2;71.4
3138906;Machacalis;2015;1;68;1.3;28.6
3138906;Machacalis;2015;1;73;5.5;0.4
3138906;Machacalis;2015;1;75;5.7;0.7
3138906;Machacalis;2015;1;82;5.3;98.9
3138906;Machacalis;2015;1;84;4.14;4666.86
3138906;Machacalis;2015;1;85;4.15;2083.12
3138906;Machacalis;2016;1;24;1.1;29.91
3138906;Machacalis;2016;1;28;2.1;3.8
3138906;Machacalis;2016;1;29;2.2;94.47
3138906;Machacalis;2016;1;30;2.3;0.0
3138906;Machacalis;2016;1;31;2.4;13.34
3138906;Machacalis;2016;1;32;2.5;75.69
3138906;Machacalis;2016;1;33;2.6;0.0
3138906;Machacalis;2016;1;34;2.7;0.0
3138906;Machacalis;2016;1;35;2.8;25.63
3138906;Machacalis;2016;1;36;2.9;0.0
3138906;Machacalis;2016;1;38;3.1;0.0
3138906;Machacalis;2016;1;39;3.2;99.4
3138906;Machacalis;2016;1;42;3.5;66.59
3138906;Machacalis;2016;1;43;3.6;5.5
3138906;Machacalis;2016;1;44;4.1;2211.78
3138906;Machacalis;2016;1;45;4.2;6596.5
3138906;Machacalis;2016;1;46;4.3;0.0
3138906;Machacalis;2016;1;47;2.10;72.8
3138906;Machacalis;2016;1;48;2.11;94.18
3138906;Machacalis;2016;1;49;2.12;8.01
3138906;Machacalis;2016;1;52;4.4;0.0
3138906;Machacalis;2016;1;53;4.5;1496.09
3138906;Machacalis;2016;1;54;4.6;2197.48
3138906;Machacalis;2016;1;55;4.7;2092.36
3138906;Machacalis;2016;1;56;4.8;4928.78
3138906;Machacalis;2016;1;57;4.9;4833.47
3138906;Machacalis;2016;1;58;4.10;3624.2
3138906;Machacalis;2016;1;59;4.11;299.63
3138906;Machacalis;2016;1;60;4.12;0.0
3138906;Machacalis;2016;1;65;5.1;5.7
3138906;Machacalis;2016;1;67;1.2;96.4
3138906;Machacalis;2016;1;68;1.3;1.87
3138906;Machacalis;2016;1;75;5.7;0.2
3138906;Machacalis;2016;1;82;5.3;99.8
3138906;Machacalis;2016;1;84;4.14;1410.49
3138906;Machacalis;2016;1;85;4.15;2484.95
3138906;Machacalis;2017;6;24;1.1;26.07
3138906;Machacalis;2017;6;28;2.1;4.84
3138906;Machacalis;2017;6;29;2.2;95.16
