COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;VAL_INDI
3126752;Franciscópolis;2015;1;24;1.1;30.83
3126752;Franciscópolis;2015;1;28;2.1;0.0
3126752;Franciscópolis;2015;1;29;2.2;69.2
3126752;Franciscópolis;2015;1;30;2.3;0.0
3126752;Franciscópolis;2015;1;31;2.4;12.78
3126752;Franciscópolis;2015;1;32;2.5;83.78
3126752;Franciscópolis;2015;1;33;2.6;0.0
3126752;Franciscópolis;2015;1;34;2.7;0.0
3126752;Franciscópolis;2015;1;35;2.8;24.21
3126752;Franciscópolis;2015;1;36;2.9;0.0
3126752;Franciscópolis;2015;1;38;3.1;0.0
3126752;Franciscópolis;2015;1;39;3.2;98.87
3126752;Franciscópolis;2015;1;42;3.5;28.21
3126752;Franciscópolis;2015;1;43;3.6;23.57
3126752;Franciscópolis;2015;1;44;4.1;3594.3
3126752;Franciscópolis;2015;1;45;4.2;6533.76
3126752;Franciscópolis;2015;1;46;4.3;0.0
3126752;Franciscópolis;2015;1;47;2.10;61.77
3126752;Franciscópolis;2015;1;48;2.11;92.86
3126752;Franciscópolis;2015;1;49;2.12;7.13
3126752;Franciscópolis;2015;1;52;4.4;0.0
3126752;Franciscópolis;2015;1;53;4.5;0.0
3126752;Franciscópolis;2015;1;54;4.6;0.0
3126752;Franciscópolis;2015;1;55;4.7;0.0
3126752;Franciscópolis;2015;1;56;4.8;5895.48
3126752;Franciscópolis;2015;1;57;4.9;5895.48
3126752;Franciscópolis;2015;1;58;4.10;1722.39
3126752;Franciscópolis;2015;1;59;4.11;1439.11
3126752;Franciscópolis;2015;1;60;4.12;0.0
3126752;Franciscópolis;2015;1;65;5.1;5.8
3126752;Franciscópolis;2015;1;67;1.2;63.12
3126752;Franciscópolis;2015;1;68;1.3;34.69
3126752;Franciscópolis;2015;1;73;5.5;1.2
3126752;Franciscópolis;2015;1;82;5.3;98.8
3126752;Franciscópolis;2015;1;84;4.14;0.0
3126752;Franciscópolis;2015;1;85;4.15;3594.3
3126752;Franciscópolis;2016;1;24;1.1;25.81
3126752;Franciscópolis;2016;1;28;2.1;0.0
3126752;Franciscópolis;2016;1;29;2.2;85.38
3126752;Franciscópolis;2016;1;30;2.3;0.0
3126752;Franciscópolis;2016;1;31;2.4;7.46
3126752;Franciscópolis;2016;1;32;2.5;62.96
3126752;Franciscópolis;2016;1;33;2.6;0.0
3126752;Franciscópolis;2016;1;34;2.7;0.0
3126752;Franciscópolis;2016;1;35;2.8;24.51
3126752;Franciscópolis;2016;1;36;2.9;1.53
3126752;Franciscópolis;2016;1;38;3.1;0.0
3126752;Franciscópolis;2016;1;39;3.2;96.58
3126752;Franciscópolis;2016;1;42;3.5;32.46
3126752;Franciscópolis;2016;1;43;3.6;31.31
3126752;Franciscópolis;2016;1;44;4.1;2028.73
3126752;Franciscópolis;2016;1;45;4.2;5656.87
3126752;Franciscópolis;2016;1;46;4.3;0.0
3126752;Franciscópolis;2016;1;47;2.10;0.0
3126752;Franciscópolis;2016;1;48;2.11;106.96
3126752;Franciscópolis;2016;1;49;2.12;0.06
3126752;Franciscópolis;2016;1;52;4.4;0.0
