COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;VAL_INDI
3126802;Frei Gaspar;2015;1;24;1.1;25.04
3126802;Frei Gaspar;2015;1;28;2.1;3.29
3126802;Frei Gaspar;2015;1;29;2.2;96.49
3126802;Frei Gaspar;2015;1;30;2.3;0.0
3126802;Frei Gaspar;2015;1;31;2.4;11.17
3126802;Frei Gaspar;2015;1;32;2.5;82.09
3126802;Frei Gaspar;2015;1;33;2.6;0.0
3126802;Frei Gaspar;2015;1;34;2.7;0.0
3126802;Frei Gaspar;2015;1;35;2.8;33.83
3126802;Frei Gaspar;2015;1;36;2.9;0.0
3126802;Frei Gaspar;2015;1;38;3.1;0.19
3126802;Frei Gaspar;2015;1;39;3.2;98.08
3126802;Frei Gaspar;2015;1;42;3.5;58.62
3126802;Frei Gaspar;2015;1;43;3.6;7.99
3126802;Frei Gaspar;2015;1;44;4.1;2545.38
3126802;Frei Gaspar;2015;1;45;4.2;5474.87
3126802;Frei Gaspar;2015;1;46;4.3;0.0
3126802;Frei Gaspar;2015;1;47;2.10;0.0
3126802;Frei Gaspar;2015;1;48;2.11;96.93
3126802;Frei Gaspar;2015;1;49;2.12;4.63
3126802;Frei Gaspar;2015;1;52;4.4;0.0
3126802;Frei Gaspar;2015;1;53;4.5;0.0
3126802;Frei Gaspar;2015;1;54;4.6;0.0
3126802;Frei Gaspar;2015;1;55;4.7;0.0
3126802;Frei Gaspar;2015;1;56;4.8;4811.28
3126802;Frei Gaspar;2015;1;57;4.9;4811.28
3126802;Frei Gaspar;2015;1;58;4.10;3024.16
3126802;Frei Gaspar;2015;1;59;4.11;412.35
3126802;Frei Gaspar;2015;1;60;4.12;0.0
3126802;Frei Gaspar;2015;1;65;5.1;5.6
3126802;Frei Gaspar;2015;1;67;1.2;91.68
3126802;Frei Gaspar;2015;1;68;1.3;6.31
3126802;Frei Gaspar;2015;1;73;5.5;6.5
3126802;Frei Gaspar;2015;1;75;5.7;1.0
3126802;Frei Gaspar;2015;1;82;5.3;92.5
