COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;VAL_INDI
3104700;Ataléia;2015;1;24;1.1;30.8
3104700;Ataléia;2015;1;28;2.1;12.82
3104700;Ataléia;2015;1;29;2.2;78.63
3104700;Ataléia;2015;1;30;2.3;0.0
3104700;Ataléia;2015;1;31;2.4;15.03
3104700;Ataléia;2015;1;32;2.5;79.53
3104700;Ataléia;2015;1;33;2.6;0.0
3104700;Ataléia;2015;1;34;2.7;0.0
3104700;Ataléia;2015;1;35;2.8;24.94
3104700;Ataléia;2015;1;36;2.9;0.0
3104700;Ataléia;2015;1;38;3.1;0.0
3104700;Ataléia;2015;1;39;3.2;98.75
3104700;Ataléia;2015;1;42;3.5;75.03
3104700;Ataléia;2015;1;43;3.6;15.28
3104700;Ataléia;2015;1;44;4.1;2701.0
3104700;Ataléia;2015;1;45;4.2;7240.53
3104700;Ataléia;2015;1;46;4.3;0.0
3104700;Ataléia;2015;1;47;2.10;0.0
3104700;Ataléia;2015;1;48;2.11;99.77
3104700;Ataléia;2015;1;49;2.12;0.22
3104700;Ataléia;2015;1;52;4.4;0.0
3104700;Ataléia;2015;1;53;4.5;2040.81
3104700;Ataléia;2015;1;54;4.6;0.0
3104700;Ataléia;2015;1;55;4.7;0.0
3104700;Ataléia;2015;1;56;4.8;5523.82
3104700;Ataléia;2015;1;57;4.9;5523.82
3104700;Ataléia;2015;1;58;4.10;4298.71
3104700;Ataléia;2015;1;59;4.11;875.58
3104700;Ataléia;2015;1;60;4.12;0.0
3104700;Ataléia;2015;1;65;5.1;6.2
3104700;Ataléia;2015;1;67;1.2;95.44
3104700;Ataléia;2015;1;68;1.3;4.55
3104700;Ataléia;2015;1;73;5.5;2.1
3104700;Ataléia;2015;1;75;5.7;0.4
3104700;Ataléia;2015;1;82;5.3;97.5
3104700;Ataléia;2015;1;84;4.14;8062.21
3104700;Ataléia;2015;1;85;4.15;1882.5
3104700;Ataléia;2016;1;24;1.1;28.76
3104700;Ataléia;2016;1;28;2.1;6.97
3104700;Ataléia;2016;1;29;2.2;77.23
3104700;Ataléia;2016;1;30;2.3;0.0
3104700;Ataléia;2016;1;31;2.4;21.33
3104700;Ataléia;2016;1;32;2.5;68.78
3104700;Ataléia;2016;1;33;2.6;0.0
3104700;Ataléia;2016;1;34;2.7;0.0
3104700;Ataléia;2016;1;35;2.8;31.7
3104700;Ataléia;2016;1;36;2.9;0.0
3104700;Ataléia;2016;1;38;3.1;0.0
3104700;Ataléia;2016;1;39;3.2;98.78
3104700;Ataléia;2016;1;42;3.5;65.06
3104700;Ataléia;2016;1;43;3.6;22.9
3104700;Ataléia;2016;1;44;4.1;4538.15
3104700;Ataléia;2016;1;45;4.2;10166.3
3104700;Ataléia;2016;1;46;4.3;0.0
3104700;Ataléia;2016;1;47;2.10;0.0
3104700;Ataléia;2016;1;48;2.11;99.89
3104700;Ataléia;2016;1;49;2.12;0.1
3104700;Ataléia;2016;1;52;4.4;0.0
3104700;Ataléia;2016;1;53;4.5;1666.66
3104700;Ataléia;2016;1;54;4.6;7142.85
3104700;Ataléia;2016;1;55;4.7;0.0
3104700;Ataléia;2016;1;56;4.8;7450.74
3104700;Ataléia;2016;1;57;4.9;7450.74
3104700;Ataléia;2016;1;58;4.10;5225.27
3104700;Ataléia;2016;1;59;4.11;1839.72
3104700;Ataléia;2016;1;60;4.12;0.0
3104700;Ataléia;2016;1;65;5.1;6.2
3104700;Ataléia;2016;1;67;1.2;100.0
3104700;Ataléia;2016;1;68;1.3;0.0
3104700;Ataléia;2016;1;73;5.5;3.5
3104700;Ataléia;2016;1;75;5.7;1.6
3104700;Ataléia;2016;1;82;5.3;94.9
3104700;Ataléia;2016;1;84;4.14;2941.18
3104700;Ataléia;2016;1;85;4.15;4919.19
3104700;Ataléia;2017;6;24;1.1;25.21
3104700;Ataléia;2017;6;28;2.1;20.31
3104700;Ataléia;2017;6;29;2.2;79.69
3104700;Ataléia;2017;6;30;2.3;0.0
3104700;Ataléia;2017;6;31;2.4;20.19
3104700;Ataléia;2017;6;32;2.5;72.75
3104700;Ataléia;2017;6;33;2.6;0.0
3104700;Ataléia;2017;6;34;2.7;0.0
3104700;Ataléia;2017;6;35;2.8;29.0
3104700;Ataléia;2017;6;36;2.9;0.0
3104700;Ataléia;2017;6;38;3.1;0.0
3104700;Ataléia;2017;6;39;3.2;99.91
3104700;Ataléia;2017;6;42;3.5;92.94
3104700;Ataléia;2017;6;43;3.6;0.0
3104700;Ataléia;2017;6;44;4.1;4117.65
3104700;Ataléia;2017;6;45;4.2;9947.96
3104700;Ataléia;2017;6;46;4.3;0.0
3104700;Ataléia;2017;6;47;2.10;0.0
3104700;Ataléia;2017;6;48;2.11;100.0
3104700;Ataléia;2017;6;49;2.12;0.0
3104700;Ataléia;2017;6;52;4.4;0.0
3104700;Ataléia;2017;6;53;4.5;2857.14
3104700;Ataléia;2017;6;54;4.6;6250.0
3104700;Ataléia;2017;6;55;4.7;0.0
3104700;Ataléia;2017;6;56;4.8;7365.03
3104700;Ataléia;2017;6;57;4.9;7365.03
3104700;Ataléia;2017;6;58;4.10;7365.03
3104700;Ataléia;2017;6;59;4.11;0.0
3104700;Ataléia;2017;6;60;4.12;0.0
3104700;Ataléia;2017;6;61;4.13;0.0
3104700;Ataléia;2017;6;65;5.1;5.7
3104700;Ataléia;2017;6;66;5.2;4.1
3104700;Ataléia;2017;6;67;1.2;100.0
3104700;Ataléia;2017;6;68;1.3;0.0
3104700;Ataléia;2017;6;73;5.5;2.1
3104700;Ataléia;2017;6;75;5.7;0.9
3104700;Ataléia;2017;6;82;5.3;97.0
3104700;Ataléia;2017;6;84;4.14;8593.75
3104700;Ataléia;2017;6;85;4.15;3079.71
3104700;Ataléia;2018;6;24;1.1;34.51
3104700;Ataléia;2018;6;28;2.1;0.0
3104700;Ataléia;2018;6;29;2.2;138.17
3104700;Ataléia;2018;6;30;2.3;0.0
3104700;Ataléia;2018;6;31;2.4;14.05
3104700;Ataléia;2018;6;32;2.5;75.41
3104700;Ataléia;2018;6;33;2.6;0.0
3104700;Ataléia;2018;6;34;2.7;0.0
3104700;Ataléia;2018;6;35;2.8;36.57
3104700;Ataléia;2018;6;36;2.9;0.0
3104700;Ataléia;2018;6;38;3.1;0.0
3104700;Ataléia;2018;6;39;3.2;99.11
3104700;Ataléia;2018;6;42;3.5;87.96
3104700;Ataléia;2018;6;43;3.6;1.5
3104700;Ataléia;2018;6;44;4.1;3823.44
3104700;Ataléia;2018;6;45;4.2;12567.65
3104700;Ataléia;2018;6;46;4.3;0.0
3104700;Ataléia;2018;6;47;2.10;0.0
3104700;Ataléia;2018;6;48;2.11;100.0
3104700;Ataléia;2018;6;49;2.12;0.0
3104700;Ataléia;2018;6;52;4.4;0.0
3104700;Ataléia;2018;6;53;4.5;4300.96
3104700;Ataléia;2018;6;54;4.6;11334.56
3104700;Ataléia;2018;6;55;4.7;0.0
3104700;Ataléia;2018;6;56;4.8;8915.69
3104700;Ataléia;2018;6;57;4.9;8915.69
3104700;Ataléia;2018;6;58;4.10;8765.9
3104700;Ataléia;2018;6;59;4.11;149.79
3104700;Ataléia;2018;6;60;4.12;0.0
3104700;Ataléia;2018;6;61;4.13;0.0
3104700;Ataléia;2018;6;65;5.1;5.7
3104700;Ataléia;2018;6;66;5.2;4.1
3104700;Ataléia;2018;6;67;1.2;76.75
3104700;Ataléia;2018;6;68;1.3;0.0
3104700;Ataléia;2018;6;73;5.5;1.6
3104700;Ataléia;2018;6;75;5.7;1.7
3104700;Ataléia;2018;6;82;5.3;96.7
3104700;Ataléia;2018;6;84;4.14;6590.98
3104700;Ataléia;2018;6;85;4.15;3160.49
3104700;Ataléia;2019;6;24;1.1;28.92
3104700;Ataléia;2019;6;28;2.1;0.0
3104700;Ataléia;2019;6;29;2.2;84.23
3104700;Ataléia;2019;6;30;2.3;0.0
3104700;Ataléia;2019;6;31;2.4;9.7
3104700;Ataléia;2019;6;32;2.5;81.99
3104700;Ataléia;2019;6;33;2.6;0.0
3104700;Ataléia;2019;6;34;2.7;0.0
3104700;Ataléia;2019;6;35;2.8;32.45
3104700;Ataléia;2019;6;36;2.9;0.0
3104700;Ataléia;2019;6;38;3.1;0.0
3104700;Ataléia;2019;6;39;3.2;98.81
3104700;Ataléia;2019;6;42;3.5;91.69
3104700;Ataléia;2019;6;43;3.6;0.0
3104700;Ataléia;2019;6;44;4.1;2021.47
3104700;Ataléia;2019;6;45;4.2;10714.64
3104700;Ataléia;2019;6;46;4.3;0.0
3104700;Ataléia;2019;6;47;2.10;0.0
3104700;Ataléia;2019;6;48;2.11;100.0
3104700;Ataléia;2019;6;49;2.12;0.0
3104700;Ataléia;2019;6;52;4.4;0.0
3104700;Ataléia;2019;6;53;4.5;1680.85
3104700;Ataléia;2019;6;54;4.6;5111.11
3104700;Ataléia;2019;6;55;4.7;0.0
3104700;Ataléia;2019;6;56;4.8;6996.67
3104700;Ataléia;2019;6;57;4.9;6996.67
3104700;Ataléia;2019;6;58;4.10;6996.67
3104700;Ataléia;2019;6;59;4.11;0.0
3104700;Ataléia;2019;6;60;4.12;0.0
3104700;Ataléia;2019;6;61;4.13;0.0
3104700;Ataléia;2019;6;67;1.2;100.0
3104700;Ataléia;2019;6;68;1.3;0.0
3104700;Ataléia;2019;6;84;4.14;2539.68
3104700;Ataléia;2019;6;85;4.15;1897.34
3104700;Ataléia;2020;6;24;1.1;31.5
3104700;Ataléia;2020;6;28;2.1;0.0
3104700;Ataléia;2020;6;29;2.2;100.0
3104700;Ataléia;2020;6;30;2.3;0.0
3104700;Ataléia;2020;6;31;2.4;0.0
3104700;Ataléia;2020;6;32;2.5;0.0
3104700;Ataléia;2020;6;33;2.6;0.0
3104700;Ataléia;2020;6;34;2.7;0.0
3104700;Ataléia;2020;6;35;2.8;0.0
3104700;Ataléia;2020;6;36;2.9;0.0
3104700;Ataléia;2020;6;38;3.1;0.0
3104700;Ataléia;2020;6;39;3.2;0.0
3104700;Ataléia;2020;6;42;3.5;0.0
3104700;Ataléia;2020;6;43;3.6;0.0
3104700;Ataléia;2020;6;44;4.1;2218.93
3104700;Ataléia;2020;6;45;4.2;12851.98
3104700;Ataléia;2020;6;46;4.3;0.0
3104700;Ataléia;2020;6;47;2.10;0.0
3104700;Ataléia;2020;6;48;2.11;0.0
3104700;Ataléia;2020;6;49;2.12;0.0
3104700;Ataléia;2020;6;52;4.4;0.0
3104700;Ataléia;2020;6;53;4.5;5588.24
3104700;Ataléia;2020;6;54;4.6;0.0
3104700;Ataléia;2020;6;55;4.7;0.0
3104700;Ataléia;2020;6;56;4.8;8295.71
3104700;Ataléia;2020;6;57;4.9;8295.71
3104700;Ataléia;2020;6;58;4.10;0.0
3104700;Ataléia;2020;6;59;4.11;8295.71
3104700;Ataléia;2020;6;60;4.12;0.0
3104700;Ataléia;2020;6;61;4.13;0.0
3104700;Ataléia;2020;6;65;5.1;0.0
3104700;Ataléia;2020;6;66;5.2;0.0
3104700;Ataléia;2020;6;67;1.2;100.0
3104700;Ataléia;2020;6;68;1.3;0.0
3104700;Ataléia;2020;6;84;4.14;2941.18
3104700;Ataléia;2020;6;85;4.15;1976.28
3104700;Ataléia;2021;6;24;1.1;23.89
3104700;Ataléia;2021;6;28;2.1;22.86
3104700;Ataléia;2021;6;29;2.2;73.49
3104700;Ataléia;2021;6;30;2.3;0.0
3104700;Ataléia;2021;6;31;2.4;21.98
3104700;Ataléia;2021;6;32;2.5;64.5
3104700;Ataléia;2021;6;33;2.6;0.0
3104700;Ataléia;2021;6;34;2.7;0.0
3104700;Ataléia;2021;6;35;2.8;37.4
3104700;Ataléia;2021;6;36;2.9;0.0
3104700;Ataléia;2021;6;38;3.1;0.0
3104700;Ataléia;2021;6;39;3.2;98.96
3104700;Ataléia;2021;6;42;3.5;58.75
3104700;Ataléia;2021;6;43;3.6;5.18
3104700;Ataléia;2021;6;44;4.1;4860.7
3104700;Ataléia;2021;6;45;4.2;10120.36
3104700;Ataléia;2021;6;46;4.3;0.0
3104700;Ataléia;2021;6;47;2.10;0.0
