NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_MESORREGIAO;CO_MESORREGIAO;NO_MICRORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;TP_DEPENDENCIA;TP_SITUACAO_FUNCIONAMENTO;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_INEXISTENTE;IN_AREA_VERDE;IN_AUDITORIO;IN_BIBLIOTECA;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PARQUE_INFANTIL;IN_QUADRA_ESPORTES;IN_QUADRA_ESPORTES_COBERTA;IN_QUADRA_ESPORTES_DESCOBERTA;IN_REFEITORIO;IN_SALA_DIRETORIA;IN_SALA_LEITURA;IN_SALA_PROFESSOR;IN_SECRETARIA;IN_SALA_ATENDIMENTO_ESPECIAL;IN_COMPUTADOR;IN_EQUIP_IMPRESSORA;IN_EQUIP_SOM;IN_EQUIP_TV;IN_EQUIP_MULTIMIDIA;IN_INTERNET;IN_ALIMENTACAO;TP_AEE;TP_ATIVIDADE_COMPLEMENTAR;IN_MEDIACAO_PRESENCIAL;IN_MEDIACAO_SEMIPRESENCIAL;IN_MEDIACAO_EAD;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_EJA_FUND;QT_MAT_ESP;QT_MAT_INF_INT;QT_MAT_INF_CRE_INT;QT_MAT_FUND_INT;QT_MAT_FUND_AI_INT;QT_MAT_FUND_AF_INT;QT_DOC_INF;QT_DOC_FUND;QT_DOC_FUND_AI;QT_DOC_FUND_AF;QT_DOC_EJA_FUND;QT_DOC_ESP;QT_TUR_INF;QT_TUR_FUND;QT_TUR_FUND_AI;QT_TUR_FUND_AF;QT_TUR_EJA_FUND;QT_TUR_ESP
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157147;EM MARIA RAMOS;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;223;67;38;29;98;98;0;0;58;1;67;38;0;0;0;6;10;7;3;3;3;5;8;5;3;3;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157155;EM SIDONIO OTTONI;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1042;163;0;163;725;477;248;0;154;35;0;0;22;22;0;10;43;27;17;11;38;9;30;21;9;8;21
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157163;EM AGRICOLA INACIO PEREIRA GUIMARAES;3;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;0;214;21;0;21;193;74;119;0;0;4;0;0;0;0;0;3;18;7;12;0;13;2;10;5;5;0;3
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157198;EM ALTINO VIEIRA DO AMARAL;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;27;0;0;0;27;27;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157287;EM OTTO WILLY PETZOLD;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;21;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;3;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157368;EM JOAO PEREIRA DOS SANTOS;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;27;0;0;0;27;27;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;3;0;3;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157384;EM FAZ SAO JOAO BATISTA;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;26;0;0;0;26;26;0;0;0;5;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157406;EM PETRONIO MENDES DE SOUZA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;19;0;0;0;19;19;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157414;EM CLARINDO VAZ DOS SANTOS;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;21;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31157431;EM LETICE PASSOS DE MATOS;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;18;0;0;0;18;18;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0
