COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;CATEG;INDICADOR;VAL_INDI
3106606;Bertópolis;2015;1;31;2.4;Indicador de dispêndio financeiro;2.4 - Percentual das despesas com educação infantil em relação à despesa total com educação;0,1928
3106606;Bertópolis;2015;1;32;2.5;Indicador de dispêndio financeiro;2.5 - Percentual das despesas com ensino fundamental em relação à despesa total com educação;0,7742
3106606;Bertópolis;2015;1;35;2.8;Indicador de dispêndio financeiro;2.8 - Percentual das despesas em educação em relação às despesas de todas as áreas;0,2224
3106606;Bertópolis;2015;1;36;2.9;Indicador de dispêndio financeiro;2.9 - Percentual das despesas com alimentação escolar em relação à despesa total com educação;
3106606;Bertópolis;2015;1;38;3.1;Indicador de dispêndio com pessoal;3.1 - Percentual das despesas com aposentadorias e pensões da área educacional em relação às despesas totais com MDE;
3106606;Bertópolis;2015;1;39;3.2;Indicador de dispêndio com pessoal;3.2 - Percentual das despesas com pessoal e encargos sociais da área educacional em relação à despesa total com MDE;0,9917
3106606;Bertópolis;2015;1;42;3.5;Indicador de dispêndio com pessoal;3.5 - Percentual das despesas com professores em relação à despesa total com MDE;0,5983
3106606;Bertópolis;2015;1;43;3.6;Indicador de dispêndio com pessoal;3.6 - Percentual das despesas com profissionais não docentes em relação à despesa total com MDE;0,0997
3106606;Bertópolis;2015;1;44;4.1;Indicador de investimento por aluno;4.1 - Investimento educacional por aluno da educação infantil;4123,82
3106606;Bertópolis;2015;1;58;4.10;Indicador de investimento por aluno;4.10 - Despesa com professores por aluno da educação básica;4240,52
3106606;Bertópolis;2015;1;59;4.11;Indicador de investimento por aluno;4.11 - Despesas com profissionais não docentes da área educacional por aluno da educação básica;706,77
3106606;Bertópolis;2015;1;84;4.14;Indicador de investimento por aluno;4.14 - Investimento educacional por aluno da educação infantil - creche;
3106606;Bertópolis;2015;1;85;4.15;Indicador de investimento por aluno;4.15 - Investimento educacional por aluno da educação infantil - pre-escola;1869,49
3106606;Bertópolis;2015;1;45;4.2;Indicador de investimento por aluno;4.2 - Investimento educacional por aluno do ensino fundamental;8207,5
3106606;Bertópolis;2015;1;53;4.5;Indicador de investimento por aluno;4.5 - Investimento educacional por aluno da educação de jovens e adultos;
3106606;Bertópolis;2015;1;54;4.6;Indicador de investimento por aluno;4.6 - Investimento educacional por aluno da educação especial;
3106606;Bertópolis;2015;1;56;4.8;Indicador de investimento por aluno;4.8 - Investimento educacional por aluno da educação básica;6853,99
3106606;Bertópolis;2015;1;57;4.9;Indicador de investimento por aluno;4.9 - Investimento educacional por aluno;6853,99
3106606;Bertópolis;2015;1;65;5.1;Indicador de desenvolvimento educacional;5.1 - Índice de Desenvolvimento da Educação Básica - IDEB - Séries Iniciais;6,1
3106606;Bertópolis;2015;1;82;5.3;Indicador de desenvolvimento educacional;5.3 - Taxa de Aprovação do Ensino Fundamental;99,5
3106606;Bertópolis;2015;1;75;5.7;Indicador de desenvolvimento educacional;5.7 - Taxa de Abandono do Ensino Fundamental;0,5
3113701;Carlos Chagas;2015;1;24;1.1;Indicador legal;1.1 - Percentual de aplicação das receitas de impostos e transferências vinculadas à educação em MDE (mínimo de 25% para estados, DF e municípios);0,3021
3113701;Carlos Chagas;2015;1;67;1.2;Indicador legal;1.2 - Percentual de aplicação do FUNDEB na remuneração dos profissionais da educação (mínimo de 70%) - Inciso XXII, Portaria Conjunta MGI/MF/CGU Nº 33 de30-08-2023;0,8752
3113701;Carlos Chagas;2015;1;68;1.3;Indicador legal;1.3 - Percentual de aplicação do FUNDEB em despesas com MDE, que não remuneração dos profissionais da educação (máximo de 30%);0,1236
3113701;Carlos Chagas;2015;1;28;2.1;Indicador de dispêndio financeiro;2.1 - Percentual dos recursos do FUNDEB aplicados na educação infantil;0,0266
3113701;Carlos Chagas;2015;1;47;2.10;Indicador de dispêndio financeiro;2.10 - Investimento com material didático por aluno da educação básica;2,34
3113701;Carlos Chagas;2015;1;48;2.11;Indicador de dispêndio financeiro;2.11 - Percentual de despesas correntes em educação em relação à despesa total em MDE;1,0055
3113701;Carlos Chagas;2015;1;49;2.12;Indicador de dispêndio financeiro;2.12 - Percentual de investimentos de capital em educação em relação à despesa total em MDE;0,0175
3113701;Carlos Chagas;2015;1;29;2.2;Indicador de dispêndio financeiro;2.2 - Percentual dos recursos do FUNDEB aplicados no ensino fundamental;0,8247
3113701;Carlos Chagas;2015;1;31;2.4;Indicador de dispêndio financeiro;2.4 - Percentual das despesas com educação infantil em relação à despesa total com educação;0,1075
